Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Day_10,Day_11,Day_12,Day_13,Day_14,Day_15,Day_16,Day_17,Day_18,Day_19,Day_20,Target
0.1241768822073936,0.1228464171290397,0.120185486972332,0.1175245493650436,0.1192985102534294,0.1210724636912345,0.1219594404101371,0.1215159520506858,0.1206289753317833,0.1188550144433975,0.1175245493650436,0.1170810610055923,0.116637572646141,0.123289905488491,0.1241768822073936,0.1224029287695884,0.1206289753317833,0.1206289753317833,0.1206289753317833,0.1179680377244949,0.1192985102534294
0.1228464171290397,0.120185486972332,0.1175245493650436,0.1192985102534294,0.1210724636912345,0.1219594404101371,0.1215159520506858,0.1206289753317833,0.1188550144433975,0.1175245493650436,0.1170810610055923,0.116637572646141,0.123289905488491,0.1241768822073936,0.1224029287695884,0.1206289753317833,0.1206289753317833,0.1206289753317833,0.1179680377244949,0.1192985102534294,0.1210724636912345
0.120185486972332,0.1175245493650436,0.1192985102534294,0.1210724636912345,0.1219594404101371,0.1215159520506858,0.1206289753317833,0.1188550144433975,0.1175245493650436,0.1170810610055923,0.116637572646141,0.123289905488491,0.1241768822073936,0.1224029287695884,0.1206289753317833,0.1206289753317833,0.1206289753317833,0.1179680377244949,0.1192985102534294,0.1210724636912345,0.1192985102534294
0.1175245493650436,0.1192985102534294,0.1210724636912345,0.1219594404101371,0.1215159520506858,0.1206289753317833,0.1188550144433975,0.1175245493650436,0.1170810610055923,0.116637572646141,0.123289905488491,0.1241768822073936,0.1224029287695884,0.1206289753317833,0.1206289753317833,0.1206289753317833,0.1179680377244949,0.1192985102534294,0.1210724636912345,0.1192985102534294,0.1192985102534294
0.1192985102534294,0.1210724636912345,0.1219594404101371,0.1215159520506858,0.1206289753317833,0.1188550144433975,0.1175245493650436,0.1170810610055923,0.116637572646141,0.123289905488491,0.1241768822073936,0.1224029287695884,0.1206289753317833,0.1206289753317833,0.1206289753317833,0.1179680377244949,0.1192985102534294,0.1210724636912345,0.1192985102534294,0.1192985102534294,0.1179680377244949
0.1210724636912345,0.1219594404101371,0.1215159520506858,0.1206289753317833,0.1188550144433975,0.1175245493650436,0.1170810610055923,0.116637572646141,0.123289905488491,0.1241768822073936,0.1224029287695884,0.1206289753317833,0.1206289753317833,0.1206289753317833,0.1179680377244949,0.1192985102534294,0.1210724636912345,0.1192985102534294,0.1192985102534294,0.1179680377244949,0.1184115260839462
0.1219594404101371,0.1215159520506858,0.1206289753317833,0.1188550144433975,0.1175245493650436,0.1170810610055923,0.116637572646141,0.123289905488491,0.1241768822073936,0.1224029287695884,0.1206289753317833,0.1206289753317833,0.1206289753317833,0.1179680377244949,0.1192985102534294,0.1210724636912345,0.1192985102534294,0.1192985102534294,0.1179680377244949,0.1184115260839462,0.1157505959272384
0.1215159520506858,0.1206289753317833,0.1188550144433975,0.1175245493650436,0.1170810610055923,0.116637572646141,0.123289905488491,0.1241768822073936,0.1224029287695884,0.1206289753317833,0.1206289753317833,0.1206289753317833,0.1179680377244949,0.1192985102534294,0.1210724636912345,0.1192985102534294,0.1192985102534294,0.1179680377244949,0.1184115260839462,0.1157505959272384,0.1153071075677871
0.1206289753317833,0.1188550144433975,0.1175245493650436,0.1170810610055923,0.116637572646141,0.123289905488491,0.1241768822073936,0.1224029287695884,0.1206289753317833,0.1206289753317833,0.1206289753317833,0.1179680377244949,0.1192985102534294,0.1210724636912345,0.1192985102534294,0.1192985102534294,0.1179680377244949,0.1184115260839462,0.1157505959272384,0.1153071075677871,0.1161940842866897
0.1188550144433975,0.1175245493650436,0.1170810610055923,0.116637572646141,0.123289905488491,0.1241768822073936,0.1224029287695884,0.1206289753317833,0.1206289753317833,0.1206289753317833,0.1179680377244949,0.1192985102534294,0.1210724636912345,0.1192985102534294,0.1192985102534294,0.1179680377244949,0.1184115260839462,0.1157505959272384,0.1153071075677871,0.1161940842866897,0.1170810610055923
0.1175245493650436,0.1170810610055923,0.116637572646141,0.123289905488491,0.1241768822073936,0.1224029287695884,0.1206289753317833,0.1206289753317833,0.1206289753317833,0.1179680377244949,0.1192985102534294,0.1210724636912345,0.1192985102534294,0.1192985102534294,0.1179680377244949,0.1184115260839462,0.1157505959272384,0.1153071075677871,0.1161940842866897,0.1170810610055923,0.1144201308488845
0.1170810610055923,0.116637572646141,0.123289905488491,0.1241768822073936,0.1224029287695884,0.1206289753317833,0.1206289753317833,0.1206289753317833,0.1179680377244949,0.1192985102534294,0.1210724636912345,0.1192985102534294,0.1192985102534294,0.1179680377244949,0.1184115260839462,0.1157505959272384,0.1153071075677871,0.1161940842866897,0.1170810610055923,0.1144201308488845,0.113533154129982
0.116637572646141,0.123289905488491,0.1241768822073936,0.1224029287695884,0.1206289753317833,0.1206289753317833,0.1206289753317833,0.1179680377244949,0.1192985102534294,0.1210724636912345,0.1192985102534294,0.1192985102534294,0.1179680377244949,0.1184115260839462,0.1157505959272384,0.1153071075677871,0.1161940842866897,0.1170810610055923,0.1144201308488845,0.113533154129982,0.1113157048821449
0.123289905488491,0.1241768822073936,0.1224029287695884,0.1206289753317833,0.1206289753317833,0.1206289753317833,0.1179680377244949,0.1192985102534294,0.1210724636912345,0.1192985102534294,0.1192985102534294,0.1179680377244949,0.1184115260839462,0.1157505959272384,0.1153071075677871,0.1161940842866897,0.1170810610055923,0.1144201308488845,0.113533154129982,0.1113157048821449,0.1126461774110794
0.1241768822073936,0.1224029287695884,0.1206289753317833,0.1206289753317833,0.1206289753317833,0.1179680377244949,0.1192985102534294,0.1210724636912345,0.1192985102534294,0.1192985102534294,0.1179680377244949,0.1184115260839462,0.1157505959272384,0.1153071075677871,0.1161940842866897,0.1170810610055923,0.1144201308488845,0.113533154129982,0.1113157048821449,0.1126461774110794,0.1130896657705307
0.1224029287695884,0.1206289753317833,0.1206289753317833,0.1206289753317833,0.1179680377244949,0.1192985102534294,0.1210724636912345,0.1192985102534294,0.1192985102534294,0.1179680377244949,0.1184115260839462,0.1157505959272384,0.1153071075677871,0.1161940842866897,0.1170810610055923,0.1144201308488845,0.113533154129982,0.1113157048821449,0.1126461774110794,0.1130896657705307,0.1139766424894332
0.1206289753317833,0.1206289753317833,0.1206289753317833,0.1179680377244949,0.1192985102534294,0.1210724636912345,0.1192985102534294,0.1192985102534294,0.1179680377244949,0.1184115260839462,0.1157505959272384,0.1153071075677871,0.1161940842866897,0.1170810610055923,0.1144201308488845,0.113533154129982,0.1113157048821449,0.1126461774110794,0.1130896657705307,0.1139766424894332,0.1157505959272384
0.1206289753317833,0.1206289753317833,0.1179680377244949,0.1192985102534294,0.1210724636912345,0.1192985102534294,0.1192985102534294,0.1179680377244949,0.1184115260839462,0.1157505959272384,0.1153071075677871,0.1161940842866897,0.1170810610055923,0.1144201308488845,0.113533154129982,0.1113157048821449,0.1126461774110794,0.1130896657705307,0.1139766424894332,0.1157505959272384,0.1161940842866897
0.1206289753317833,0.1179680377244949,0.1192985102534294,0.1210724636912345,0.1192985102534294,0.1192985102534294,0.1179680377244949,0.1184115260839462,0.1157505959272384,0.1153071075677871,0.1161940842866897,0.1170810610055923,0.1144201308488845,0.113533154129982,0.1113157048821449,0.1126461774110794,0.1130896657705307,0.1139766424894332,0.1157505959272384,0.1161940842866897,0.1179680377244949
0.1179680377244949,0.1192985102534294,0.1210724636912345,0.1192985102534294,0.1192985102534294,0.1179680377244949,0.1184115260839462,0.1157505959272384,0.1153071075677871,0.1161940842866897,0.1170810610055923,0.1144201308488845,0.113533154129982,0.1113157048821449,0.1126461774110794,0.1130896657705307,0.1139766424894332,0.1157505959272384,0.1161940842866897,0.1179680377244949,0.1188550144433975
0.1192985102534294,0.1210724636912345,0.1192985102534294,0.1192985102534294,0.1179680377244949,0.1184115260839462,0.1157505959272384,0.1153071075677871,0.1161940842866897,0.1170810610055923,0.1144201308488845,0.113533154129982,0.1113157048821449,0.1126461774110794,0.1130896657705307,0.1139766424894332,0.1157505959272384,0.1161940842866897,0.1179680377244949,0.1188550144433975,0.1179680377244949
0.1210724636912345,0.1192985102534294,0.1192985102534294,0.1179680377244949,0.1184115260839462,0.1157505959272384,0.1153071075677871,0.1161940842866897,0.1170810610055923,0.1144201308488845,0.113533154129982,0.1113157048821449,0.1126461774110794,0.1130896657705307,0.1139766424894332,0.1157505959272384,0.1161940842866897,0.1179680377244949,0.1188550144433975,0.1179680377244949,0.1188550144433975
0.1192985102534294,0.1192985102534294,0.1179680377244949,0.1184115260839462,0.1157505959272384,0.1153071075677871,0.1161940842866897,0.1170810610055923,0.1144201308488845,0.113533154129982,0.1113157048821449,0.1126461774110794,0.1130896657705307,0.1139766424894332,0.1157505959272384,0.1161940842866897,0.1179680377244949,0.1188550144433975,0.1179680377244949,0.1188550144433975,0.1184115260839462
0.1192985102534294,0.1179680377244949,0.1184115260839462,0.1157505959272384,0.1153071075677871,0.1161940842866897,0.1170810610055923,0.1144201308488845,0.113533154129982,0.1113157048821449,0.1126461774110794,0.1130896657705307,0.1139766424894332,0.1157505959272384,0.1161940842866897,0.1179680377244949,0.1188550144433975,0.1179680377244949,0.1188550144433975,0.1184115260839462,0.1170810610055923
0.1179680377244949,0.1184115260839462,0.1157505959272384,0.1153071075677871,0.1161940842866897,0.1170810610055923,0.1144201308488845,0.113533154129982,0.1113157048821449,0.1126461774110794,0.1130896657705307,0.1139766424894332,0.1157505959272384,0.1161940842866897,0.1179680377244949,0.1188550144433975,0.1179680377244949,0.1188550144433975,0.1184115260839462,0.1170810610055923,0.1170810610055923
